vardas		pavarde		nd1	nd2	nd3	nd4	nd5	egz
vardas54		pavarde54		8	1	6	10	1	7
vardas55		pavarde55		4	2	3	7	4	4
vardas56		pavarde56		5	3	8	8	6	4
vardas57		pavarde57		2	10	2	10	1	3
vardas58		pavarde58		5	4	7	7	4	7
vardas59		pavarde59		1	10	9	7	9	10
vardas60		pavarde60		1	3	0	4	10	4
vardas61		pavarde61		8	2	7	5	10	0
vardas62		pavarde62		8	0	8	8	10	7
vardas63		pavarde63		9	2	0	5	9	4
vardas64		pavarde64		0	8	4	9	5	2
vardas65		pavarde65		6	6	3	4	0	0
vardas66		pavarde66		8	6	3	2	10	0
vardas67		pavarde67		2	5	9	8	2	6
vardas68		pavarde68		5	0	9	5	4	5
vardas69		pavarde69		10	4	3	1	0	6
vardas70		pavarde70		1	4	10	5	9	8
vardas71		pavarde71		3	6	2	6	7	1
vardas72		pavarde72		5	9	6	3	5	6
vardas73		pavarde73		8	10	6	6	2	8
vardas74		pavarde74		9	10	1	10	0	1
vardas75		pavarde75		3	0	6	1	3	4
vardas76		pavarde76		7	6	8	9	0	4
vardas77		pavarde77		10	5	1	3	6	6
vardas78		pavarde78		9	3	3	3	7	5
vardas79		pavarde79		0	4	5	2	3	3
vardas80		pavarde80		3	5	3	7	6	6
vardas81		pavarde81		9	2	0	7	10	0
vardas82		pavarde82		9	9	3	10	0	9
vardas83		pavarde83		3	9	0	6	1	7
vardas84		pavarde84		10	0	0	2	2	2
vardas85		pavarde85		3	3	7	7	0	0
vardas86		pavarde86		0	9	2	9	3	1
vardas87		pavarde87		9	2	9	1	1	9
vardas88		pavarde88		9	3	5	9	7	5
vardas89		pavarde89		5	6	5	4	6	7
vardas90		pavarde90		6	10	8	0	4	8
vardas91		pavarde91		0	2	5	2	1	6
vardas92		pavarde92		2	8	8	9	10	8
vardas93		pavarde93		5	6	9	8	4	5
vardas94		pavarde94		2	7	10	7	9	5
vardas95		pavarde95		1	4	4	10	2	6
vardas96		pavarde96		5	2	9	8	3	8
vardas97		pavarde97		4	3	5	10	1	2
vardas98		pavarde98		5	4	8	3	1	1
vardas99		pavarde99		7	4	7	6	0	5
vardas100		pavarde100		0	0	8	3	10	10
vardas101		pavarde101		7	4	2	3	0	5
vardas102		pavarde102		0	4	6	6	1	7
vardas103		pavarde103		8	5	9	4	6	10
vardas104		pavarde104		5	2	3	10	8	2
vardas105		pavarde105		5	7	2	2	8	10
vardas106		pavarde106		10	4	1	1	6	1
vardas107		pavarde107		4	6	3	10	10	5
vardas108		pavarde108		4	6	10	2	10	3
vardas109		pavarde109		0	2	6	3	2	1
vardas110		pavarde110		3	5	6	3	5	1
vardas111		pavarde111		2	4	4	2	4	10
vardas112		pavarde112		3	6	5	7	4	5
vardas113		pavarde113		1	8	9	9	9	8
vardas114		pavarde114		10	9	10	3	10	1
vardas115		pavarde115		5	3	6	9	4	9
vardas116		pavarde116		0	5	3	4	7	7
vardas117		pavarde117		1	10	0	6	4	4
vardas118		pavarde118		9	5	0	7	1	9
vardas119		pavarde119		2	10	5	2	2	4
vardas120		pavarde120		1	7	5	6	4	8
vardas121		pavarde121		4	2	2	7	6	9
vardas122		pavarde122		1	7	6	2	0	0
vardas123		pavarde123		6	8	3	6	2	3
vardas124		pavarde124		2	5	2	7	7	4
vardas125		pavarde125		10	8	10	4	3	1
vardas126		pavarde126		1	8	3	1	2	7
vardas127		pavarde127		8	4	1	2	6	1
vardas128		pavarde128		2	10	7	3	4	10
vardas129		pavarde129		6	6	2	6	1	9
vardas130		pavarde130		9	0	4	6	2	6
vardas131		pavarde131		7	2	1	10	3	1
vardas132		pavarde132		6	10	5	7	1	9
vardas133		pavarde133		6	3	7	1	6	0
vardas134		pavarde134		0	0	6	0	4	7
vardas135		pavarde135		7	2	5	0	8	8
vardas136		pavarde136		4	4	10	3	1	2
vardas137		pavarde137		5	5	1	8	10	2
vardas138		pavarde138		5	4	3	1	5	8
vardas139		pavarde139		1	3	6	5	3	10
vardas140		pavarde140		0	10	2	5	8	8
vardas141		pavarde141		2	0	2	1	3	1
vardas142		pavarde142		2	6	7	1	4	6
vardas143		pavarde143		4	7	10	5	8	4
vardas144		pavarde144		2	7	5	8	1	8
vardas145		pavarde145		6	1	5	8	7	3
vardas146		pavarde146		5	7	3	5	9	4
vardas147		pavarde147		7	0	0	3	1	2
vardas148		pavarde148		7	3	9	7	7	4
vardas149		pavarde149		9	9	0	2	5	1
vardas150		pavarde150		10	0	1	5	6	6
vardas151		pavarde151		6	9	2	9	4	0
vardas152		pavarde152		0	9	9	9	1	9
vardas153		pavarde153		9	6	10	7	0	6
vardas154		pavarde154		9	8	3	9	10	6
vardas155		pavarde155		0	9	4	10	1	10
vardas156		pavarde156		5	7	6	7	3	10
vardas157		pavarde157		6	2	8	2	0	7
vardas158		pavarde158		0	10	3	9	4	1
vardas159		pavarde159		2	3	9	3	10	8
vardas160		pavarde160		9	10	5	0	7	6
vardas161		pavarde161		10	1	1	4	9	2
vardas162		pavarde162		3	4	4	10	6	3
vardas163		pavarde163		4	5	2	5	1	4
vardas164		pavarde164		7	3	5	5	7	5
vardas165		pavarde165		3	3	2	6	4	10
vardas166		pavarde166		1	1	0	0	5	7
vardas167		pavarde167		3	9	9	5	6	3
vardas168		pavarde168		8	10	6	8	3	7
vardas169		pavarde169		2	10	10	5	2	4
vardas170		pavarde170		10	3	8	2	9	1
vardas171		pavarde171		10	0	2	10	9	8
vardas172		pavarde172		5	10	4	3	5	8
vardas173		pavarde173		4	2	5	10	9	8
vardas174		pavarde174		6	9	7	4	3	8
vardas175		pavarde175		8	3	0	3	3	10
vardas176		pavarde176		4	2	8	5	10	6
vardas177		pavarde177		2	4	6	4	6	9
vardas178		pavarde178		1	10	9	6	8	7
vardas179		pavarde179		2	1	5	7	5	9
vardas180		pavarde180		4	1	10	5	4	2
vardas181		pavarde181		4	7	4	1	1	1
vardas182		pavarde182		5	1	4	9	5	10
vardas183		pavarde183		7	4	7	6	8	2
vardas184		pavarde184		0	10	4	6	7	9
vardas185		pavarde185		2	0	8	1	5	2
vardas186		pavarde186		3	7	7	5	6	8
vardas187		pavarde187		6	1	7	10	8	1
vardas188		pavarde188		7	5	3	2	9	0
vardas189		pavarde189		4	9	0	8	2	5
vardas190		pavarde190		5	4	5	2	3	9
vardas191		pavarde191		2	4	3	9	9	10
vardas192		pavarde192		4	3	9	0	0	6
vardas193		pavarde193		10	8	9	2	8	7
vardas194		pavarde194		1	1	4	10	10	4
vardas195		pavarde195		4	2	7	7	4	10
vardas196		pavarde196		5	7	4	9	5	0
vardas197		pavarde197		6	10	3	4	8	4
vardas198		pavarde198		10	8	10	9	8	7
vardas199		pavarde199		3	9	6	5	8	3
vardas200		pavarde200		10	1	5	6	7	10
vardas201		pavarde201		3	1	6	5	8	9
vardas202		pavarde202		6	1	6	7	5	4
vardas203		pavarde203		0	5	1	8	1	9
vardas204		pavarde204		2	2	6	9	8	3
vardas205		pavarde205		1	7	3	7	0	10
vardas206		pavarde206		6	3	9	10	9	5
vardas207		pavarde207		6	2	6	2	9	1
vardas208		pavarde208		4	8	4	3	5	3
vardas209		pavarde209		10	6	5	5	4	2
vardas210		pavarde210		7	5	7	10	1	5
vardas211		pavarde211		7	5	9	5	2	5
vardas212		pavarde212		10	9	5	4	9	3
vardas213		pavarde213		5	0	9	7	3	2
vardas214		pavarde214		10	2	8	2	6	1
vardas215		pavarde215		3	2	6	8	10	6
vardas216		pavarde216		3	6	9	10	0	1
vardas217		pavarde217		4	9	8	7	2	4
vardas218		pavarde218		10	5	4	7	1	7
vardas219		pavarde219		9	9	7	6	0	2
vardas220		pavarde220		5	1	2	9	10	1
vardas221		pavarde221		4	2	5	1	1	6
vardas222		pavarde222		2	3	2	8	10	2
vardas223		pavarde223		1	7	7	5	3	6
vardas224		pavarde224		1	10	2	6	3	0
vardas225		pavarde225		7	8	2	9	7	1
vardas226		pavarde226		9	9	1	3	10	2
vardas227		pavarde227		7	10	3	9	7	0
vardas228		pavarde228		9	6	7	5	0	9
vardas229		pavarde229		9	10	6	0	6	10
vardas230		pavarde230		1	2	5	3	9	10
vardas231		pavarde231		2	7	7	3	9	4
vardas232		pavarde232		3	5	4	6	2	9
vardas233		pavarde233		4	0	5	9	4	3
vardas234		pavarde234		7	2	3	1	3	7
vardas235		pavarde235		9	4	7	3	7	5
vardas236		pavarde236		3	9	0	8	10	7
vardas237		pavarde237		1	2	10	3	6	1
vardas238		pavarde238		2	10	0	5	8	4
vardas239		pavarde239		6	3	4	9	4	7
vardas240		pavarde240		5	2	9	10	3	5
vardas241		pavarde241		5	4	1	3	1	0
vardas242		pavarde242		10	3	0	9	6	4
vardas243		pavarde243		9	6	3	9	9	10
vardas244		pavarde244		0	5	2	2	3	4
vardas245		pavarde245		10	7	4	8	6	7
vardas246		pavarde246		1	9	1	0	1	0
vardas247		pavarde247		10	9	3	10	8	8
vardas248		pavarde248		4	6	3	5	2	2
vardas249		pavarde249		2	0	5	4	2	8
vardas250		pavarde250		6	10	2	8	6	7
vardas251		pavarde251		5	7	5	4	5	5
vardas252		pavarde252		2	4	3	6	2	9
vardas253		pavarde253		1	4	2	4	7	2
vardas254		pavarde254		4	10	2	9	1	3
vardas255		pavarde255		5	8	2	5	5	6
vardas256		pavarde256		1	8	2	5	10	6
vardas257		pavarde257		8	2	10	0	6	10
vardas258		pavarde258		8	7	3	10	9	0
vardas259		pavarde259		2	1	8	2	8	9
vardas260		pavarde260		5	2	6	6	6	10
vardas261		pavarde261		1	5	5	2	10	5
vardas262		pavarde262		8	5	5	5	6	0
vardas263		pavarde263		5	3	5	6	0	3
vardas264		pavarde264		4	2	4	1	3	2
vardas265		pavarde265		0	6	2	4	1	6
vardas266		pavarde266		3	1	1	7	1	9
vardas267		pavarde267		1	7	4	4	1	8
vardas268		pavarde268		4	4	0	9	9	9
vardas269		pavarde269		10	2	10	4	2	2
vardas270		pavarde270		4	0	8	4	4	8
vardas271		pavarde271		0	6	9	1	2	10
vardas272		pavarde272		10	1	6	1	5	5
vardas273		pavarde273		9	7	10	7	5	6
vardas274		pavarde274		6	4	8	5	6	8
vardas275		pavarde275		7	8	8	2	2	0
vardas276		pavarde276		10	2	6	8	3	6
vardas277		pavarde277		5	0	7	0	2	10
vardas278		pavarde278		6	0	6	3	6	9
vardas279		pavarde279		9	1	0	4	4	7
vardas280		pavarde280		0	9	2	8	0	4
vardas281		pavarde281		8	0	6	1	6	9
vardas282		pavarde282		7	1	8	1	10	10
vardas283		pavarde283		0	3	8	6	4	3
vardas284		pavarde284		2	0	2	3	3	6
vardas285		pavarde285		8	3	4	10	0	3
vardas286		pavarde286		4	7	1	10	8	7
vardas287		pavarde287		7	5	6	4	6	4
vardas288		pavarde288		1	5	5	7	9	10
vardas289		pavarde289		9	1	10	0	2	0
vardas290		pavarde290		5	10	3	7	9	2
vardas291		pavarde291		10	0	9	0	9	6
vardas292		pavarde292		6	3	9	10	7	3
vardas293		pavarde293		3	6	8	9	0	4
vardas294		pavarde294		6	9	5	3	8	7
vardas295		pavarde295		4	2	4	7	7	1
vardas296		pavarde296		9	7	1	5	5	8
vardas297		pavarde297		1	9	0	8	9	7
vardas298		pavarde298		0	10	0	6	8	10
vardas299		pavarde299		0	1	8	3	5	3
vardas300		pavarde300		9	7	3	2	3	0
vardas301		pavarde301		3	0	5	3	5	10
vardas302		pavarde302		0	4	9	1	2	5
vardas303		pavarde303		6	0	4	5	5	2
vardas304		pavarde304		4	3	1	10	4	6
vardas305		pavarde305		3	2	2	4	3	4
vardas306		pavarde306		4	4	2	7	7	5
vardas307		pavarde307		7	8	10	3	7	10
vardas308		pavarde308		8	2	8	1	7	0
vardas309		pavarde309		1	9	3	3	9	6
vardas310		pavarde310		7	10	6	8	3	9
vardas311		pavarde311		10	6	3	1	2	8
vardas312		pavarde312		6	7	3	3	10	10
vardas313		pavarde313		0	5	0	9	5	5
vardas314		pavarde314		9	6	4	0	7	0
vardas315		pavarde315		4	2	10	10	8	0
vardas316		pavarde316		9	5	6	10	4	7
vardas317		pavarde317		7	8	3	0	1	1
vardas318		pavarde318		8	1	4	8	8	9
vardas319		pavarde319		1	5	3	5	3	8
vardas320		pavarde320		5	7	10	2	6	5
vardas321		pavarde321		2	2	10	7	10	3
vardas322		pavarde322		3	5	1	4	3	0
vardas323		pavarde323		3	0	10	8	7	8
vardas324		pavarde324		6	8	0	7	0	3
vardas325		pavarde325		5	3	8	2	5	1
vardas326		pavarde326		6	5	2	5	10	1
vardas327		pavarde327		7	2	6	6	5	7
vardas328		pavarde328		4	8	8	3	3	2
vardas329		pavarde329		9	8	10	9	4	8
vardas330		pavarde330		10	7	0	5	10	3
vardas331		pavarde331		7	5	8	9	8	6
vardas332		pavarde332		8	2	6	2	6	0
vardas333		pavarde333		9	10	7	4	3	10
vardas334		pavarde334		6	1	7	3	9	1
vardas335		pavarde335		0	6	8	0	1	5
vardas336		pavarde336		3	6	8	10	2	4
vardas337		pavarde337		5	10	4	0	10	0
vardas338		pavarde338		10	7	10	6	0	0
vardas339		pavarde339		5	5	0	2	8	9
vardas340		pavarde340		1	7	2	7	7	3
vardas341		pavarde341		2	9	7	8	6	9
vardas342		pavarde342		1	0	7	6	9	4
vardas343		pavarde343		6	8	0	3	3	10
vardas344		pavarde344		4	7	4	4	7	10
vardas345		pavarde345		2	8	6	2	4	1
vardas346		pavarde346		4	4	8	0	2	3
vardas347		pavarde347		8	1	1	4	7	8
vardas348		pavarde348		8	0	6	7	4	7
vardas349		pavarde349		4	8	1	6	1	8
vardas350		pavarde350		5	1	3	10	1	8
vardas351		pavarde351		9	5	10	4	6	10
vardas352		pavarde352		7	1	1	6	5	6
vardas353		pavarde353		3	0	7	7	5	9
vardas354		pavarde354		4	9	4	5	4	3
vardas355		pavarde355		1	8	4	4	5	5
vardas356		pavarde356		10	3	9	8	7	2
vardas357		pavarde357		7	1	3	8	7	8
vardas358		pavarde358		4	10	6	9	7	1
vardas359		pavarde359		5	9	8	9	1	2
vardas360		pavarde360		1	0	10	3	5	4
vardas361		pavarde361		8	2	5	4	10	10
vardas362		pavarde362		6	7	0	9	2	7
vardas363		pavarde363		4	4	4	0	0	9
vardas364		pavarde364		10	5	5	7	3	7
vardas365		pavarde365		7	4	5	4	7	10
vardas366		pavarde366		6	3	2	0	5	10
vardas367		pavarde367		10	1	6	8	10	9
vardas368		pavarde368		4	2	0	7	2	1
vardas369		pavarde369		3	10	6	9	4	10
vardas370		pavarde370		3	1	1	8	3	7
vardas371		pavarde371		6	10	8	6	10	2
vardas372		pavarde372		5	8	1	10	5	10
vardas373		pavarde373		8	8	1	6	2	1
vardas374		pavarde374		7	5	0	3	1	2
vardas375		pavarde375		0	2	1	10	9	5
vardas376		pavarde376		6	4	4	1	8	1
vardas377		pavarde377		2	2	7	3	1	0
vardas378		pavarde378		2	7	8	3	3	10
vardas379		pavarde379		4	10	2	2	0	2
vardas380		pavarde380		5	0	4	6	9	2
vardas381		pavarde381		9	2	4	0	4	1
vardas382		pavarde382		2	6	2	7	7	3
vardas383		pavarde383		7	10	0	2	0	1
vardas384		pavarde384		1	3	0	2	5	10
vardas385		pavarde385		4	8	8	6	4	6
vardas386		pavarde386		7	0	9	9	1	2
vardas387		pavarde387		9	1	6	0	8	0
vardas388		pavarde388		3	5	10	1	7	9
vardas389		pavarde389		0	7	1	1	7	4
vardas390		pavarde390		9	9	2	6	2	4
vardas391		pavarde391		2	9	4	0	8	5
vardas392		pavarde392		0	6	6	4	4	4
vardas393		pavarde393		4	7	7	4	7	1
vardas394		pavarde394		0	7	6	10	6	2
vardas395		pavarde395		3	4	9	5	9	1
vardas396		pavarde396		9	0	10	1	9	5
vardas397		pavarde397		6	9	9	0	2	2
vardas398		pavarde398		2	6	8	7	8	2
vardas399		pavarde399		8	6	9	2	5	3
vardas400		pavarde400		4	9	5	1	1	3
vardas401		pavarde401		2	9	1	10	10	10
vardas402		pavarde402		5	3	6	1	3	6
vardas403		pavarde403		2	5	2	10	1	8
vardas404		pavarde404		10	8	4	8	10	7
vardas405		pavarde405		9	1	5	4	2	7
vardas406		pavarde406		7	4	3	7	4	2
vardas407		pavarde407		6	7	5	2	8	9
vardas408		pavarde408		8	10	1	8	7	3
vardas409		pavarde409		4	6	0	6	2	8
vardas410		pavarde410		2	0	9	8	2	1
vardas411		pavarde411		2	8	5	5	4	9
vardas412		pavarde412		5	10	3	10	10	1
vardas413		pavarde413		6	6	9	8	3	6
vardas414		pavarde414		9	5	10	7	0	10
vardas415		pavarde415		4	3	9	2	9	0
vardas416		pavarde416		3	0	8	7	3	10
vardas417		pavarde417		3	6	10	7	3	7
vardas418		pavarde418		8	10	2	4	5	4
vardas419		pavarde419		8	1	9	6	6	8
vardas420		pavarde420		5	10	0	3	10	9
vardas421		pavarde421		2	1	7	8	6	8
vardas422		pavarde422		8	9	3	5	5	4
vardas423		pavarde423		10	0	1	2	3	4
vardas424		pavarde424		4	0	5	0	6	9
vardas425		pavarde425		8	1	6	6	2	6
vardas426		pavarde426		4	4	5	9	0	0
vardas427		pavarde427		4	8	7	5	0	0
vardas428		pavarde428		10	10	0	0	10	3
vardas429		pavarde429		5	3	2	8	2	8
vardas430		pavarde430		5	10	7	0	4	10
vardas431		pavarde431		4	6	1	9	5	1
vardas432		pavarde432		7	7	7	4	2	7
vardas433		pavarde433		2	10	5	2	10	4
vardas434		pavarde434		4	2	6	4	9	8
vardas435		pavarde435		1	3	5	7	3	9
vardas436		pavarde436		6	6	5	5	4	8
vardas437		pavarde437		5	10	4	1	1	4
vardas438		pavarde438		7	3	3	1	3	1
vardas439		pavarde439		3	5	1	9	9	10
vardas440		pavarde440		6	9	0	1	5	2
vardas441		pavarde441		8	0	8	2	3	10
vardas442		pavarde442		10	8	7	2	8	8
vardas443		pavarde443		6	2	0	8	3	2
vardas444		pavarde444		9	4	7	10	3	4
vardas445		pavarde445		8	9	2	6	8	7
vardas446		pavarde446		6	6	5	3	6	8
vardas447		pavarde447		1	4	4	8	6	1
vardas448		pavarde448		4	10	3	2	5	4
vardas449		pavarde449		4	3	8	10	1	9
vardas450		pavarde450		3	7	8	5	0	3
vardas451		pavarde451		1	7	7	4	8	3
vardas452		pavarde452		10	9	5	3	5	9
vardas453		pavarde453		2	9	6	3	0	1
vardas454		pavarde454		7	5	4	3	4	3
vardas455		pavarde455		1	7	8	7	10	9
vardas456		pavarde456		9	9	5	5	2	2
vardas457		pavarde457		6	1	10	0	3	4
vardas458		pavarde458		7	5	2	3	9	2
vardas459		pavarde459		4	5	5	6	6	7
vardas460		pavarde460		10	8	1	7	2	0
vardas461		pavarde461		3	0	9	6	6	9
vardas462		pavarde462		7	10	0	6	9	3
vardas463		pavarde463		8	5	6	10	8	4
vardas464		pavarde464		10	1	8	3	8	3
vardas465		pavarde465		10	5	9	1	10	1
vardas466		pavarde466		10	3	10	7	9	5
vardas467		pavarde467		5	5	3	3	9	1
vardas468		pavarde468		4	6	6	9	3	4
vardas469		pavarde469		2	1	5	10	4	0
vardas470		pavarde470		1	1	5	8	0	3
vardas471		pavarde471		9	9	4	9	5	0
vardas472		pavarde472		1	8	4	4	10	2
vardas473		pavarde473		5	1	7	10	10	10
vardas474		pavarde474		3	2	9	6	10	0
vardas475		pavarde475		7	9	2	10	7	0
vardas476		pavarde476		0	3	9	4	10	1
vardas477		pavarde477		5	10	10	9	3	7
vardas478		pavarde478		9	7	8	5	6	8
vardas479		pavarde479		3	7	8	1	2	7
vardas480		pavarde480		0	7	6	0	7	0
vardas481		pavarde481		0	5	3	8	10	1
vardas482		pavarde482		9	2	0	6	0	1
vardas483		pavarde483		2	7	8	9	0	1
vardas484		pavarde484		6	3	8	3	2	9
vardas485		pavarde485		8	2	5	3	2	10
vardas486		pavarde486		1	1	5	5	9	4
vardas487		pavarde487		6	5	6	4	1	4
vardas488		pavarde488		5	1	9	3	10	9
vardas489		pavarde489		2	3	10	9	6	2
vardas490		pavarde490		5	4	2	10	5	3
vardas491		pavarde491		8	7	4	2	10	0
vardas492		pavarde492		4	3	5	8	7	4
vardas493		pavarde493		10	1	4	8	2	3
vardas494		pavarde494		5	3	7	4	10	0
vardas495		pavarde495		6	4	4	7	3	8
vardas496		pavarde496		10	9	2	1	9	1
vardas497		pavarde497		1	2	2	4	8	9
vardas498		pavarde498		9	5	8	2	1	0
vardas499		pavarde499		3	6	1	8	10	0
vardas500		pavarde500		9	4	4	0	0	5
vardas501		pavarde501		6	8	4	8	7	2
vardas502		pavarde502		7	8	3	9	10	9
vardas503		pavarde503		7	6	4	5	6	5
vardas504		pavarde504		3	10	0	4	5	8
vardas505		pavarde505		4	1	1	6	0	10
vardas506		pavarde506		0	6	5	2	4	1
vardas507		pavarde507		5	0	7	6	10	7
vardas508		pavarde508		4	4	2	8	7	9
vardas509		pavarde509		0	8	6	9	10	9
vardas510		pavarde510		7	1	0	8	7	0
vardas511		pavarde511		6	8	6	0	10	8
vardas512		pavarde512		0	2	7	7	8	4
vardas513		pavarde513		1	0	8	2	8	3
vardas514		pavarde514		9	7	0	2	5	0
vardas515		pavarde515		0	1	1	0	8	9
vardas516		pavarde516		9	3	4	5	1	1
vardas517		pavarde517		0	10	2	7	5	10
vardas518		pavarde518		0	6	10	7	6	6
vardas519		pavarde519		10	4	2	8	6	7
vardas520		pavarde520		6	5	7	8	5	4
vardas521		pavarde521		4	4	5	6	7	6
vardas522		pavarde522		5	7	4	7	2	9
vardas523		pavarde523		5	2	4	2	9	0
vardas524		pavarde524		6	6	2	8	2	7
vardas525		pavarde525		3	8	1	10	3	4
vardas526		pavarde526		1	7	6	6	0	0
vardas527		pavarde527		10	6	6	3	0	8
vardas528		pavarde528		1	5	10	4	6	7
vardas529		pavarde529		2	1	0	2	8	2
vardas530		pavarde530		9	0	0	8	8	3
vardas531		pavarde531		0	7	9	4	2	7
vardas532		pavarde532		5	10	0	9	3	1
vardas533		pavarde533		6	2	4	3	6	10
vardas534		pavarde534		8	6	10	9	9	7
vardas535		pavarde535		9	5	5	7	3	0
vardas536		pavarde536		0	1	7	7	5	9
vardas537		pavarde537		3	8	8	2	4	9
vardas538		pavarde538		3	10	1	5	1	5
vardas539		pavarde539		3	9	1	2	5	8
vardas540		pavarde540		9	4	2	3	0	3
vardas541		pavarde541		1	9	4	8	3	8
vardas542		pavarde542		6	7	3	1	7	8
vardas543		pavarde543		0	8	5	10	2	6
vardas544		pavarde544		4	3	5	3	5	8
vardas545		pavarde545		0	1	10	3	2	0
vardas546		pavarde546		4	3	7	7	0	0
vardas547		pavarde547		2	4	5	5	6	1
vardas548		pavarde548		0	4	9	6	3	9
vardas549		pavarde549		10	7	2	2	0	5
vardas550		pavarde550		0	9	7	10	10	9
vardas551		pavarde551		8	4	2	5	0	0
vardas552		pavarde552		3	2	5	8	5	0
vardas553		pavarde553		7	4	4	5	8	7
vardas554		pavarde554		1	7	1	1	10	10
vardas555		pavarde555		7	8	9	3	5	6
vardas556		pavarde556		1	1	10	1	6	8
vardas557		pavarde557		2	7	8	7	4	3
vardas558		pavarde558		5	9	7	9	1	4
vardas559		pavarde559		3	2	9	2	4	6
vardas560		pavarde560		2	0	3	9	3	7
vardas561		pavarde561		2	2	8	2	2	1
vardas562		pavarde562		8	4	8	6	9	10
vardas563		pavarde563		7	3	8	3	10	9
vardas564		pavarde564		5	0	9	3	2	2
vardas565		pavarde565		8	2	0	9	0	1
vardas566		pavarde566		5	1	2	0	3	4
vardas567		pavarde567		1	9	6	7	4	4
vardas568		pavarde568		6	9	5	1	10	4
vardas569		pavarde569		8	4	4	7	6	6
vardas570		pavarde570		7	3	7	8	1	7
vardas571		pavarde571		9	5	6	0	5	9
vardas572		pavarde572		2	7	6	8	1	10
vardas573		pavarde573		1	8	7	6	7	6
vardas574		pavarde574		8	5	0	1	1	4
vardas575		pavarde575		6	8	5	2	3	6
vardas576		pavarde576		7	2	9	3	0	4
vardas577		pavarde577		10	3	9	5	9	10
vardas578		pavarde578		3	0	5	10	4	2
vardas579		pavarde579		5	2	5	3	1	6
vardas580		pavarde580		5	5	1	10	5	5
vardas581		pavarde581		4	0	5	2	3	3
vardas582		pavarde582		6	0	4	4	4	3
vardas583		pavarde583		2	5	1	7	2	3
vardas584		pavarde584		9	5	3	1	9	5
vardas585		pavarde585		5	1	8	7	1	3
vardas586		pavarde586		10	5	1	2	5	4
vardas587		pavarde587		5	1	2	8	3	4
vardas588		pavarde588		9	5	9	10	0	0
vardas589		pavarde589		2	7	6	6	9	2
vardas590		pavarde590		9	3	3	4	8	2
vardas591		pavarde591		5	7	5	6	7	0
vardas592		pavarde592		8	0	10	9	8	0
vardas593		pavarde593		2	6	4	1	3	4
vardas594		pavarde594		1	3	0	5	7	7
vardas595		pavarde595		7	5	0	9	8	6
vardas596		pavarde596		0	2	1	6	7	8
vardas597		pavarde597		4	4	8	3	2	3
vardas598		pavarde598		3	5	7	7	4	10
vardas599		pavarde599		9	3	3	8	9	10
vardas600		pavarde600		4	3	3	2	10	9
vardas601		pavarde601		9	9	9	10	4	5
vardas602		pavarde602		7	6	8	3	9	10
vardas603		pavarde603		6	10	2	1	5	4
vardas604		pavarde604		0	3	8	1	0	4
vardas605		pavarde605		10	5	5	0	7	5
